dx_id	name	created_by	created
project-FpVG0G84X7kzq58g19vF1YJQ	001_Staging_Area52	user-jwahn	2020-04-24
project-G9b4xY84Bg75yP5X4fPGqzyg	002_220425_A01303_0064_AH3WH7DRX2_CEN	user-ykim	2022-04-28
project-G6jGkX84kj49v7gk4J16V078	003_211208_b38_dias	user-mohammedn	2021-12-08
project-G86K7XQ4jKXPgK4Z8Zj585Zj	003_220216_helios_v1.0.3_VEP_testing	user-spaul4	2022-02-16
project-G9kK7pQ4Gz54PkjG4y3zZ38y	002_220503_A01303_0065_AH3WHNDRX2_MYE	user-aishadahir	2022-05-04
project-G9Q2B8843VxFBb9Y4j3PJ0g6	004_220420_VEP_Workbooks_v1	user-toutoua	2022-04-20
project-G9k5Pv04xYkg2X9j37K5BxQp	004_athena_v1.4.0_testing	user-jethror1	2022-05-04
project-G97PGQj4fqQ0k395Fkzg8Bg4	004_vcf_handler_app_2.6.0_testing	user-emee_genetics_ark	2022-04-07
project-G86J9xQ400v5Fq365QK0FGx9	002_220216_vaf_checks_TWE	user-jethror1	2022-02-16
project-G9b8YPj4x5v94z0k4VPFGZQ5	002_220425_A01313_0063_BH7GGVDMXY_TWE	user-toutoua	2022-04-28
project-G9YvKz04zG2g2Jy40zVqpgfg	004_220426_eggd_somalier_testing	user-mohammedn	2022-04-26
project-G7XZXv04vFvjXk2BKv2FbKY3	002_220114_A01303_0053_AH577JDMXY_TWE	user-sophier	2022-01-17
project-G710xKQ4kv2yGV5z5PgKkkPY	002_211220_A01295_0040_AHV52VDRXY_CEN	user-toutoua	2021-12-21
project-G8BVjPj4kZP65yj3KPy3PQB9	002_220222_vaf_checks_CEN	user-garnerm	2022-02-22
project-Fkb6Gkj433GVVvj73J7x8KbV	001_Reference	user-jwahn	2020-03-12
project-G1gbJ3048k0yzP545gppfVgV	003_210407_A01303_0007_AH5VMTDRXY_BCL2FASTQ2	user-sophier	2021-04-08
project-G9gQYJ040X8GppGq4Q2kqyGB	002_220429_A01295_0093_BH3WJYDRX2_TSO500	user-toutoua	2022-05-01
project-G8Zyfyj4F2KfxXX04vgQbF1Y	003_220310_eggd_generate_workbook_v2.0.0_testing	user-jethror1	2022-03-10
project-G9bqygj4p95kxF1Q4VZ2v645	002_220428_A01295_0092_AH3WKKDRX2_CEN	user-ykim	2022-04-29
project-G2Y0BFj4xX2f1kKp5QbP7VJX	002_210520_iScan-data	user-garnerm	2021-05-20
project-G95QpQQ49K6fjk6YPg4yvb2z	001_Staging_Area54	user-jwahn	2022-04-04
project-FykvvJj4qyvb74pQFG3J21qZ	003_201117_Aisha_AppTraining	user-aishadahir	2020-11-17
project-Fq1yVVj41zg7Gkz38K60KfxP	003_200519_Myeloid	user-ykim	2020-05-19
project-G8KJ7x84q42xKQJ95Fx2P7ZJ	003_220228_sWGS	user-ykim	2022-02-28
project-G8GJ1B04JJ5vQp3VGB47y06X	002_220225_vaf_checks_TSOE	user-jethror1	2022-02-25
project-G9B0BxQ480P03FjxBGFfz04k	002_220408_A01295_0082_AH332CDRX2_MYE	user-jethror1	2022-04-11
project-G6Pkb384qPGBfY9P6B33Qgxx	003_sophie_paul_workspace	user-spaul4	2021-11-25
project-Fq80F0840JGP2K8B4B0BPVbz	002_200507_K00178_0259_AHGGCKBBXY_clinicalgenetics	user-garnerm	2020-05-28
project-G8jV97849y7yzxJf5Zxkj5bk	003_220315_happy_v1.1.0	user-aishadahir	2022-03-15
project-G0g7zkQ4fzbxpKJxPgVkx6J8	002_210202_K00178_0307_BHKNTLBBXY	user-toutoua	2021-02-18
project-G9Z23bQ41bQbGFZxP8jqF3y1	003_220426_uranus_v1.10.0_testing	user-aishadahir	2022-04-26
project-G9PBB2j45Bk17VVp0vByvJ5p	002_220414_A01295_0085_BH2W27DRX2_CEN	user-toutoua	2022-04-19
project-G6F6Y9Q4ZgbbJPBq21XBBbX2	003_211118_uranus_v1.9.0_testing	user-jethror1	2021-11-18
project-G9J7J684q6Kzf0QVGQX3JV8K	002_220414_A01295_0084_AH2VWVDRX2_TSO500	user-toutoua	2022-04-16
